Classpath;Classname;Count
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.ClassFilter;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.ClassLoading;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.ClasspathInspector;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.Config;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.Digger;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.Digger$AllClazzRecords;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.ResourceWalker;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.jmx.ClassDiagnostic;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.jmx.Description;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.jmx.MBeanFinder;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.logging.SingleLineFormatter;0
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.logging.StdoutHandler;0
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.spi.CsvXPorter;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.spi.FileXPorter;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.spi.FileXPorter$1;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.stat.ClazzRecord;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.stat.ClazzStatistic;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.stat.ClazzStatisticMBean;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.util.NestedZipFile;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.util.ShutdownHook;1
file:/Users/oboehm/work/github/en/ClazzFish/core/target/classes/;clazzfish.core.util.Shutdownable;1
file:/Users/oboehm/work/github/en/ClazzFish/jdbc/target/classes/;clazzfish.jdbc.AbstractStatistic;1
file:/Users/oboehm/work/github/en/ClazzFish/jdbc/target/classes/;clazzfish.jdbc.AbstractStatisticMBean;1
file:/Users/oboehm/work/github/en/ClazzFish/jdbc/target/classes/;clazzfish.jdbc.ConnectionMonitor;1
file:/Users/oboehm/work/github/en/ClazzFish/jdbc/target/classes/;clazzfish.jdbc.ConnectionMonitorMBean;1
file:/Users/oboehm/work/github/en/ClazzFish/jdbc/target/classes/;clazzfish.jdbc.JdbcStarter;1
